"killed_by","count"
"M416",74389
"SCAR-L",56779
"M16A4",43970
"AKM",36221
"Kar98k",24657
"Mini 14",20347
"SKS",14513
"UMP9",14025
"Hit by Car",9994
"Grenade",7023
"M24",3658
"Groza",3257
"Falling",2734
"S12K",2593
"S1897",2571
"AWM",2448
"M249",2294
"Micro UZI",2026
"S686",1732
"Tommy Gun",1651
"Uaz",1341
"Mk14",1312
"Vector",1202
"VSS",1105
"DP-28",639
"AUG",442
"Dacia",422
"Motorbike (SideCar)",368
"Buggy",294
"Motorbike",250
"Crossbow",249
"P1911",157
"P92",148
"death.ProjMolotov_DamageField_C",135
"Pan",70
"P18C",68
"Punch",62
"Boat",46
"death.Buff_FireDOT_C",45
"R1895",40
"death.ProjMolotov_C",10
"Machete",8
"Crowbar",2
"Sickle",2
