"killed_by","count"
"M16A4",21576
"AKM",20941
"M416",19747
"SCAR-L",17563
"UMP9",13175
"S1897",7737
"Mini 14",4818
"Micro UZI",4766
"S686",4677
"S12K",4404
"SKS",3276
"Kar98k",3185
"Tommy Gun",2663
"Hit by Car",2597
"Grenade",2111
"Vector",1009
"P92",907
"Falling",856
"P1911",791
"VSS",551
"DP-28",549
"Punch",310
"Crossbow",290
"R1895",262
"Groza",210
"M249",163
"P18C",163
"Motorbike (SideCar)",150
"Uaz",143
"Motorbike",106
"M24",100
"Mk14",79
"Pan",75
"AWM",70
"death.ProjMolotov_DamageField_C",68
"Dacia",48
"Buggy",35
"AUG",29
"Sickle",27
"Machete",22
"death.Buff_FireDOT_C",20
"Crowbar",9
"Boat",5
"Aquarail",1
