"killed_by","count"
"M416",56591
"SCAR-L",40948
"M16A4",24977
"AKM",19429
"Kar98k",17872
"Mini 14",12900
"SKS",8991
"UMP9",6799
"Grenade",5214
"M24",4334
"Groza",3966
"AWM",3598
"M249",2388
"Mk14",1339
"Hit by Car",1338
"S12K",1045
"Falling",977
"S1897",769
"Micro UZI",750
"Tommy Gun",633
"S686",619
"Vector",605
"VSS",602
"AUG",522
"DP-28",329
"Uaz",296
"Crossbow",174
"Dacia",115
"P1911",63
"P92",48
"Buggy",35
"P18C",33
"Pan",32
"R1895",17
"death.ProjMolotov_DamageField_C",16
"death.Buff_FireDOT_C",15
"Motorbike",13
"Motorbike (SideCar)",13
"Punch",11
"Boat",5
"Crowbar",1
"Machete",1
