"killed_by","count"
"M416",35302
"M16A4",34583
"AKM",31450
"SCAR-L",30018
"UMP9",16763
"Mini 14",9035
"Hit by Car",8106
"Kar98k",7303
"S1897",6758
"SKS",6048
"Micro UZI",4464
"Grenade",4365
"S12K",4280
"S686",4079
"Tommy Gun",2746
"Falling",2421
"Vector",1229
"VSS",873
"DP-28",710
"Groza",520
"P1911",515
"P92",511
"Uaz",469
"Motorbike (SideCar)",457
"M249",392
"M24",345
"Crossbow",328
"Motorbike",315
"Punch",262
"AWM",182
"Dacia",172
"Mk14",164
"death.ProjMolotov_DamageField_C",160
"R1895",159
"Buggy",152
"P18C",144
"Pan",79
"AUG",60
"death.Buff_FireDOT_C",54
"Boat",15
"Crowbar",13
"Machete",12
"Sickle",12
"death.ProjMolotov_C",3
