"killed_by","count"
"S1897",44139
"M16A4",39536
"AKM",37448
"UMP9",34518
"M416",28835
"SCAR-L",26489
"S686",26487
"Punch",21590
"S12K",21241
"Micro UZI",21220
"P1911",16120
"P92",15611
"Tommy Gun",11430
"Mini 14",9350
"SKS",7502
"R1895",4908
"Vector",4556
"Hit by Car",4364
"Kar98k",3452
"Grenade",2247
"DP-28",1875
"Falling",1820
"Crossbow",1734
"P18C",1471
"VSS",1394
"Pan",807
"Crowbar",468
"Machete",450
"Sickle",446
"Motorbike (SideCar)",107
"death.ProjMolotov_DamageField_C",90
"Motorbike",87
"Uaz",75
"death.Buff_FireDOT_C",71
"Buggy",21
"Dacia",17
"death.ProjMolotov_C",4
