"killed_by","count"
"M416",36094
"SCAR-L",29578
"M16A4",28329
"AKM",24615
"UMP9",10820
"Kar98k",9778
"Mini 14",9744
"Hit by Car",8686
"SKS",6617
"Grenade",4495
"S1897",2912
"S12K",2311
"Falling",2305
"Micro UZI",2091
"S686",1817
"Tommy Gun",1503
"Vector",868
"Groza",850
"VSS",769
"M24",741
"M249",703
"Uaz",683
"AWM",466
"DP-28",462
"Motorbike (SideCar)",443
"Motorbike",329
"Mk14",315
"Dacia",238
"P1911",225
"P92",202
"Crossbow",198
"Buggy",186
"death.ProjMolotov_DamageField_C",144
"AUG",109
"Punch",96
"death.Buff_FireDOT_C",57
"P18C",53
"R1895",48
"Pan",45
"Boat",37
"death.ProjMolotov_C",7
"Sickle",7
"Machete",5
"Crowbar",3
