"killed_by","count"
"AKM",28539
"M16A4",28166
"M416",23500
"UMP9",20844
"SCAR-L",20823
"S1897",18313
"S686",10859
"Micro UZI",9982
"S12K",9493
"Mini 14",5813
"Tommy Gun",5262
"SKS",4201
"Kar98k",2950
"P1911",2887
"P92",2855
"Grenade",2245
"Vector",1942
"Hit by Car",1726
"DP-28",1046
"R1895",851
"Punch",811
"VSS",725
"Falling",644
"Crossbow",604
"P18C",391
"Pan",118
"Motorbike (SideCar)",105
"death.ProjMolotov_DamageField_C",81
"Machete",70
"Motorbike",70
"Uaz",70
"Groza",59
"Crowbar",57
"Sickle",55
"death.Buff_FireDOT_C",49
"M249",42
"Dacia",34
"Buggy",28
"Mk14",20
"M24",15
"AUG",14
"AWM",10
"Boat",2
"death.ProjMolotov_C",2
